District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Central & Western,45 First Street,,6886
Sha Tin,"Shek Yuk House, Chun Shek Estate",,6887
Sha Tin,"Block 2, Carado Garden",,6888
Kwai Tsing,"Block 8, Kwai Shing West Estate",,6889
Yau Tsim Mong,40-46 Argyle Street,,6890
Islands,Novotel Citygate Hong Kong,,6891
Sha Tin,"Block 2, Park View Garden",,6892
Kowloon City,"Hung Hong Court, Hunghom Bay Centre",,6893
Eastern,Kam Ping Mansion,,6895
Kwun Tong,20 Ting Yip Street,,6896
Kwun Tong,20 Ting Yip Street,,6897
Kwun Tong,"Ko Sui House, Ko Cheung Court",,6898
Yuen Long,"Ping Yin House, Ping Yan Court",,6904
Kwai Tsing,"Block 1, Kwai Shing West Estate",,6905
Eastern,"Oi Ping House, Oi Tung Estate",,6906
Tsuen Wan,Sam Tung Uk Resite Village,,6907
Kwun Tong,"Front Block, Luen On House",,6908
Sha Tin,"Block C, Phase 2, Sunshine City",,6909
Southern,"Lei Fook House High Block, Ap Lei Chau Estate",,6910
Yuen Long,"Tower 1, Sol City",,6911
Sha Tin,"Tower 3, Man Lai Court",,6912
Sha Tin,"Ming Yan Lau, Jat Min Chuen",,6913
Kwun Tong,"Front Block, Luen On House",,6914
Kwun Tong,"Choi Shing House, Choi Tak Estate",,6915
Sham Shui Po,"Lai Yeung House, Lei Cheng Uk Estate",,6916
Yau Tsim Mong,"Good Luck House, Portland Street",,6917
Tsuen Wan,Sam Tung Uk Resite Village,,6918
Yau Tsim Mong,Xi Hotel,,6919
Kwun Tong,"Chi Tai House, On Tai Estate",,6920
Wan Chai,Jardine Summit,,6921
Sha Tin,"Tower 2, Greenhill Villa",,6922
Yau Tsim Mong,Tung Wah Group of Hospitals Ho Yuk Ching Willow Lodge,,6923
Eastern,Ramada Hong Kong Grand View,,6924
Kwun Tong,"Block 13, Laguna City",,6925
Wong Tai Sin,Hsin Kuang Centre,,6926
Wong Tai Sin,"Tower 1, Wing Ting Road Fire Services Married Quarters",,6927
Sha Tin,"Kapok House, Kwong Yuen Estate",,6928
Kwun Tong,"Sheung Wing House, Upper Ngau Tau Kok Estate",,6929
North,"Ping Yee House, Tai Ping Estate",,6930
Yuen Long,"Yan Wing Mansion, Ping Shan",,6931
Tuen Mun,"Block 1, Hong Lai Garden",,6932
Islands,Hong Kong SkyCity Marriott Hotel,,6933
Sha Tin,"Banyan House, Kwong Yuen Estate",,6934
Sha Tin,"Ming Chuen House, Shui Chuen O Estate",,6935
Southern,"Block C, Fulham Garden",,6936
Sai Kung,"Sheung Chun House, Sheung Tak Estate",,6937
